"janvier" "février" "mars" "avril" "mai" "juin" "juillet" "aout" "septembre" "octobre" "novembre" "décembre" "lat" "long" "moy" "amp"
"Bordeaux" 5.6 6.6 10.3 12.8 15.8 19.3 20.9 21.0 18.6 13.8 9.1 6.2 44.5 -0.34 13.3 15.4
"Brest" 6.1 5.8 7.8 9.2 11.6 14.4 15.6 16.0 14.7 12.0 9.0 7.0 48.2 -4.29 10.8 10.2
"Clermont-Ferrand" 2.6 3.7 7.5 10.3 13.8 17.3 19.4 19.1 16.2 11.2 6.6 3.6 45.5 3.05 10.9 16.8
"Grenoble" 1.5 3.2 7.7 10.6 14.5 17.8 20.1 19.5 16.7 11.4 6.5 2.3 45.1 5.43 11.0 18.6
"Lille" 2.4 2.9 6.0 8.9 12.4 15.3 17.1 17.1 14.7 10.4 6.1 3.5 50.4 3.04 9.7 14.7
"Lyon" 2.1 3.3 7.7 10.9 14.9 18.5 20.7 20.1 16.9 11.4 6.7 3.1 45.5 4.51 11.4 18.6
"Marseille" 5.5 6.6 10.0 13.0 16.8 20.8 23.3 22.8 19.9 15.0 10.2 6.9 43.2 5.24 14.2 17.8
"Montpellier" 5.6 6.7 9.9 12.8 16.2 20.1 22.7 22.3 19.3 14.6 10.0 6.5 43.4 3.53 13.9 17.1
"Nantes" 5.0 5.3 8.4 10.8 13.9 17.2 18.8 18.6 16.4 12.2 8.2 5.5 47.1 -1.33 11.7 13.8
"Nice" 7.5 8.5 10.8 13.3 16.7 20.1 22.7 22.5 20.3 16.0 11.5 8.2 43.4 7.15 14.8 15.2
"Paris" 3.4 4.1 7.6 10.7 14.3 17.5 19.1 18.7 16.0 11.4 7.1 4.3 48.5 2.20 11.2 15.7
"Rennes" 4.8 5.3 7.9 10.1 13.1 16.2 17.9 17.8 15.7 11.6 7.8 5.4 48.1 -1.41 11.1 13.1
"Strasbourg" 0.4 1.5 5.6 9.8 14.0 17.2 19.0 18.3 15.1 9.5 4.9 1.3 48.4 7.45 9.7 18.6
"Toulouse" 4.7 5.6 9.2 11.6 14.9 18.7 20.9 20.9 18.3 13.3 8.6 5.5 43.4 1.26 12.7 16.2
"Vichy" 2.4 3.4 7.1 9.9 13.6 17.1 19.3 18.8 16.0 11.0 6.6 3.4 46.1 3.26 10.7 16.9
